DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
3,Wednesday,11AM,12PM,19MFF-00055,151 EXECUTIVE PARK BLVD,"9:45am-9:50am, 11:50am-11:55am","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336743,,11:00,12:00,51657000,03/28/2012 04:42:00 PM,04/10/2012 09:55:28 AM,4991,089,Y,Quan Catering,6013914.933,2087053.31143,37.711433672924784,-122.393703104381615,"(37.711433672924784, -122.39370310438161)"
1,Monday,8AM,8AM,19MFF-00055,500 SELBY ST,"8:35am-8:40am, 11:05-11:10am","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336729,,08:00,08:00,11741000,03/28/2012 04:32:41 PM,03/28/2012 04:33:29 PM,5264,049,Y,Quan Catering,6013548.78989,2099028.96009,37.744296018280686,-122.395807199913463,"(37.744296018280686, -122.39580719991346)"
4,Thursday,12PM,1PM,19MFF-00041,701 16TH ST,"10am-10:10am, 12:20pm-12:45pm","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages",1332946,,12:00,13:00,699001,05/09/2011 12:48:34 PM,05/09/2011 12:48:54 PM,8723,001,Y,Mini Mobile Food Catering,6014603.26051,2107142.35834,37.766632277549284,-122.392728509584117,"(37.766632277549284, -122.39272850958412)"
0,Sunday,6AM,8PM,21MFF-00048,1 MARKET ST,"On the south side of Market Street, approximately 40 feet NE of Spear Street.","Ice Cream, Donuts",1515717,,06:00,20:00,8737101,07/02/2019 10:53:02 AM,07/02/2019 10:54:36 AM,3713,006,N,Treats by the Bay LLC,6014241.64278,2117276.36365,37.794437862296938,-122.394689039467664,"(37.79443786229694, -122.39468903946766)"
3,Wednesday,1PM,2PM,17MFF-0182,1562 BANCROFT AVE,Set-up at 1600 Bancroft Ave: 1:45pm-2:00pm,"Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA",963985,,13:00,14:00,2710000,09/14/2011 10:19:14 AM,09/14/2011 10:19:28 AM,4849,006,Y,Singh Brothers Ice Cream,6014494.50146,2092073.63088,37.725250671201401,-122.392050803800601,"(37.7252506712014, -122.3920508038006)"
5,Friday,11AM,12PM,19MFF-00055,400 BEALE ST,Set-up at 430 Beale St: 11:55am-12:00pm,"Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336738,,11:00,12:00,2867000,05/20/2011 04:49:16 PM,05/20/2011 04:49:37 PM,3766,012,Y,Quan Catering,6015202.7183,2114686.28863,37.787379499857025,-122.391182442660778,"(37.787379499857025, -122.39118244266078)"
2,Tuesday,10AM,11AM,19MFF-00041,245 01ST ST,Set-up at 275 1st St: 10:25am-10:30am,"Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages",1332935,,10:00,11:00,110000,05/09/2011 01:06:25 PM,05/09/2011 01:06:42 PM,3737,012,Y,Mini Mobile Food Catering,6014118.92075,2114840.88759,37.78774378840766,-122.394943017482845,"(37.78774378840766, -122.39494301748284)"
3,Wednesday,7AM,7PM,16MFF-0139,201 BAY SHORE BLVD,Truck (Trailer) located on Bayshore,"Fried Chicken, Fried Fish, Greens, Mac & Cheese, Peach Cobbler, and String beans",848184,,07:00,19:00,2799106,09/08/2016 04:43:08 PM,09/08/2016 04:43:50 PM,5559,021,N,Reecees Soulicious,6011202.19453,2099389.81019,37.745156012803449,-122.403946659673494,"(37.74515601280345, -122.4039466596735)"
6,Saturday,9AM,4PM,18MFF-0034,560 VALENCIA ST,Cart located between trees south of entrance to 560 Valencia St.,Chai Tea,1174530,,09:00,16:00,13060000,06/28/2011 12:25:38 PM,06/28/2011 12:26:10 PM,3568,009,N,CC Acquisition LLC,6006163.78837,2106331.57764,37.763933721963348,-122.42186162805514,"(37.76393372196335, -122.42186162805514)"
1,Monday,7AM,6PM,12MFF-0083,79 NEW MONTGOMERY ST,Push cart located on the sidewalk 25 linear feet NW of the Mission St & New Montgomery St intersection.,Hot Indian Chai (Tea),364218,,07:00,18:00,9543000,04/03/2012 02:59:22 PM,05/01/2012 03:10:59 PM,3707,014,N,The Chai Cart,6012448.52352,2114861.95448,37.787708609288892,-122.400723790401429,"(37.78770860928889, -122.40072379040143)"
5,Friday,12PM,1PM,18MFF-0028,85 02ND ST,"Set-up at 580 Mission St: 7:00am-7:05am, 10:00am-10:10am, 12:00pm-12:10pm","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.",1163789,,12:00,13:00,131000,08/31/2011 03:31:13 PM,08/31/2011 03:32:09 PM,3708,019,Y,"SOHOMEI, LLC",6012660.25138,2115054.74519,37.788249774149101,-122.400004792044683,"(37.7882497741491, -122.40000479204468)"
2,Tuesday,10AM,3PM,22MFF-00021,290 TOWNSEND ST,10:00am-3:00pm,"Mexican Food, Yucatan Food, Street Food",1591823,,10:00,15:00,12662000,07/28/2011 02:28:18 PM,07/28/2011 02:28:35 PM,3787,028,N,Cochinita,6014079.55674,2111038.10448,37.77730002627586,-122.394812784798859,"(37.77730002627586, -122.39481278479886)"
3,Wednesday,7AM,6PM,18MFF-0033,298 MARKET ST,Push cart located on the sidewalk approximately 15 linear feet West of the Market St & Drumm St intersection.,Indian Chai (Tea),1174517,,07:00,18:00,8739201,03/26/2012 02:29:19 PM,05/01/2012 03:07:02 PM,0264,004,N,CC Acquisition LLC,6013431.51129,2116567.78727,37.792447203934337,-122.39744249553803,"(37.79244720393434, -122.39744249553803)"
2,Tuesday,12PM,12AM,15MFF-0007,2386 MISSION ST,Truck & Trailer located at 2386 Mission Street located in the first two spaces.,"Hot dogs, bacon-wrapped hot dogs, chicken burgers, energy drinks, water and various other drinks.",1010174,,12:00,24:00,9121000,08/24/2017 12:15:03 PM,11/22/2017 11:57:55 AM,3596,119,N,Julie's Hot Dogs,6006911.35854,2104468.74884,37.758860958628745,-122.419143856419552,"(37.758860958628745, -122.41914385641955)"
5,Friday,8AM,4PM,23MFF-00053,1100 FRANKLIN ST,"On the east side of Franklin St, approximately 27 feet south of the SE corner of the Franklin St and Myrtle St intersection","Tacos, Burritos, Quesadillas, Nachos Alambres, Choice of Meat, Carne Asada, Carnitas, Pollo, Al Pastor Camarones",1747910,,08:00,16:00,5816000,08/16/2019 09:35:59 AM,08/16/2019 09:44:18 AM,0714,015,N,El Alambre,6006054.86829,2113849.30077,37.784569434609786,-122.422772647145308,"(37.784569434609786, -122.42277264714531)"
2,Tuesday,12PM,1PM,17MFF-0182,2900 GRIFFITH ST,12:30pm-12:45pm,"Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA",963980,,12:00,13:00,6548000,09/14/2011 09:20:54 AM,09/14/2011 09:30:51 AM,4973,001,Y,Singh Brothers Ice Cream,6015212.95063,2089043.01717,37.716969064339715,-122.389355637131118,"(37.716969064339715, -122.38935563713112)"
3,Wednesday,12AM,3AM,15MFF-0007,2386 MISSION ST,Truck & Trailer located at 2386 Mission Street located in the first two spaces.,"Hot dogs, bacon-wrapped hot dogs, chicken burgers, energy drinks, water and various other drinks.",1010174,,00:00,03:00,9121000,08/24/2017 12:15:03 PM,11/22/2017 11:57:55 AM,3596,119,N,Julie's Hot Dogs,6006911.35854,2104468.74884,37.758860958628745,-122.419143856419552,"(37.758860958628745, -122.41914385641955)"
1,Monday,10AM,12PM,19MFF-00055,3305 03RD ST,"Set-up at 696 Amador St: 7:00am-8:00am, 10:20am-10:30am, 11:40am-11:50am","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336731,,10:00,12:00,15086000,04/10/2012 09:51:34 AM,04/10/2012 09:55:51 AM,4502A,002,Y,Quan Catering,6016067.65644,2100153.34551,37.747523152855791,-122.387175828518991,"(37.74752315285579, -122.38717582851899)"
5,Friday,10PM,12AM,17MFF-0190,2365 MISSION ST,"Truck & hitched trailer occupying two parking spaces on the east side of Mission St., approximately 150 ft north of 20th St.","Hot dogs, Bacon wrapped hot dogs, soda, water, sports drinks, energy drinks, chips",1163405,,22:00,24:00,9121000,05/17/2018 04:39:48 PM,05/17/2018 04:40:21 PM,3595,024,N,Julie's Hot Dogs,6006944.46458,2104594.2809,37.759207504908971,-122.419038263925941,"(37.75920750490897, -122.41903826392594)"
2,Tuesday,10AM,11AM,18MFF-0028,1 THOMAS MORE WAY,"7:00am-7:10am, 10:00am-10:10am, 12:00pm-12:10pm","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.",1163792,,10:00,11:00,12583000,08/31/2011 03:39:41 PM,08/31/2011 03:40:18 PM,7380,027,Y,"SOHOMEI, LLC",5991083.26248,2088048.7782,37.712871813938413,-122.472687037509331,"(37.71287181393841, -122.47268703750933)"
4,Thursday,9AM,1PM,17MFF-0198,601 MISSION ST,Truck & trailer located on 2nd Street approximately 75 feet south of the Mission St. and 2nd St intersection.,"Smoothies, Juice, Salads, Fruit Bowls, Soup",1058991,,09:00,13:00,9092000,01/09/2018 11:29:48 AM,01/09/2018 11:35:18 AM,3722,001,N,Ruru Juice LLC,6012725.7752,2114944.78638,37.787951505966632,-122.399770365102199,"(37.78795150596663, -122.3997703651022)"
2,Tuesday,12PM,1PM,23MFF-00054,1440 BANCROFT AVE,"Set-up at 1414 Bancroft Ave: 9:45am-9:50am, 12:10-12:15pm","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages",1750854,,12:00,13:00,2709000,05/13/2011 09:13:21 AM,05/13/2011 09:13:45 AM,4850,019,Y,TING TING MINI MOBILE DELI,6015139.72659,2091592.62559,37.723965728268745,-122.389786723375778,"(37.723965728268745, -122.38978672337578)"
2,Tuesday,11AM,12PM,19MFF-00055,3433 03RD ST,"Set-up at 3451 3rd St: 8:00am-8:10am, 11:00am-11:05am","Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336733,,11:00,12:00,198101,04/10/2012 09:58:22 AM,04/10/2012 09:58:49 AM,5203,023,Y,Quan Catering,6016102.69642,2099523.25729,37.745795001214155,-122.387010722473121,"(37.745795001214155, -122.38701072247312)"
3,Wednesday,10AM,6PM,19MFF-00059,865 MARKET ST,34 LF east from the Westfield entrance way near the curb,"Kettle Corn, Funnel Cakes, Waffles, Lemonade",1336921,,10:00,18:00,8747103,07/17/2012 04:14:13 PM,07/17/2012 04:15:12 PM,3705,042,N,Kettle Corn Star,6010532.97528,2113742.67378,37.78452830557034,-122.407272318143853,"(37.78452830557034, -122.40727231814385)"
1,Monday,1PM,2PM,18MFF-0028,1240 MINNESOTA ST,Set-up at 1220 Minnesota St: 1:40pm-1:55pm,"COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.",1163795,,13:00,14:00,9058000,08/31/2011 03:48:16 PM,08/31/2011 03:48:31 PM,4228,015,Y,"SOHOMEI, LLC",6015303.13816,2102797.17099,37.754740174441082,-122.390004165430227,"(37.75474017444108, -122.39000416543023)"
5,Friday,9AM,5PM,23MFF-00025,750 PHELPS ST,"On the southwest side of Evans Ave, approximately 250 feet southeast of Quint St","Tacos, Burritos, Quesadillas, Tortas",1733611,,09:00,17:00,5335000,10/16/2020 11:33:02 AM,10/19/2020 04:58:57 PM,5280,001,N,Buenafe,6015061.97502,2097732.27679,37.740819657574626,-122.390484298083337,"(37.740819657574626, -122.39048429808334)"
1,Monday,4PM,5PM,17MFF-0182,35 NIBBI CT,4:45pm-5:00pm,"Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA",963997,,16:00,17:00,9602000,09/14/2011 10:47:35 AM,09/14/2011 10:47:51 AM,5079,004,Y,Singh Brothers Ice Cream,6013108.50289,2086688.0925,37.710386007760818,-122.396464771663432,"(37.71038600776082, -122.39646477166343)"
1,Monday,10AM,2PM,17MFF-0104,231 SANSOME ST,a truck 45’ north from the SW corner of Pine and Sansome (west side),"Artisan Pizzas (Margherita, Yukon Potato, Zoe's Pepperoni, Funghi, Brocolli Rabe, Bacon Kale,  Arugula) and Drinks.",934555,,10:00,14:00,11544000,02/13/2012 11:46:32 AM,02/13/2012 11:47:08 AM,0260,002,N,"Casey's Pizza, LLC",6012385.28623,2116572.60407,37.792402122271994,-122.401062825163962,"(37.792402122271994, -122.40106282516396)"
2,Tuesday,8AM,9AM,19MFF-00041,Assessors Block 4341/Lot001,1605 Kansas St: 6:30am-7:25am,"Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages",1332947,,08:00,09:00,7740000,05/09/2011 12:18:00 PM,05/09/2011 12:18:44 PM,4341,001,Y,Mini Mobile Food Catering,6011939.508,2100756.7,37.748950363427056,-122.401493189708219,"(37.748950363427056, -122.40149318970822)"
4,Thursday,3PM,4PM,17MFF-0182,2115 JENNINGS ST,3:00pm-3:15pm,"Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA",963990,,15:00,16:00,7479000,09/14/2011 10:25:00 AM,09/14/2011 10:25:12 AM,4828,021,Y,Singh Brothers Ice Cream,6015472.89368,2092657.77925,37.726908899154758,-122.388709328767831,"(37.72690889915476, -122.38870932876783)"
2,Tuesday,10AM,11AM,18MFF-0028,544 02ND ST,"Set-up at 550 2nd St: 7:00am-7:05am, 10:00am-10:05am, 11:55am-12:00pm","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.",1163786,,10:00,11:00,144000,08/31/2011 03:16:07 PM,08/31/2011 03:16:46 PM,3775,005,Y,"SOHOMEI, LLC",6014652.28096,2112911.53937,37.782475882459941,-122.392962638578155,"(37.78247588245994, -122.39296263857815)"
5,Friday,6AM,10PM,23MFF-00047,491 BAY SHORE BLVD,Truck located approximately 200 linear feet North of the Cortland and Bay Shore Blvd intersection. First parking space next to the yellow zone that clears the tree.,"Tacos, Burritos, Quesadillas, Tortas, Nachos, Hot Dogs,Soda, Water, Fruit Drinks",1741751,,06:00,22:00,2801101,09/17/2012 12:09:30 PM,09/17/2012 12:11:08 PM,5598,008,N,San Pancho's Tacos,6010304.31738,2097376.17095,37.739576790778216,-122.406909482372015,"(37.739576790778216, -122.40690948237201)"
6,Saturday,8AM,8PM,22MFF-00024,1275 EVANS AVE,,"Tacos, burritos, quesadillas, soda & water",1591840,,08:00,20:00,5331101,10/21/2014 07:54:53 AM,10/30/2014 09:29:04 AM,5237,033,N,Tacos Rodriguez,6017370.90815,2097192.46952,37.739465271868291,-122.382463242697781,"(37.73946527186829, -122.38246324269778)"
